so,req,database,type,total_time,server_response,db_response,cpu_usage
linux,250,mysql,read,0.107069969,0.104333878,0.003594875,1.3
linux,250,mysql,read,0.104306936,0.102777004,0.002333879,0
linux,250,mysql,read,0.10385108,0.102406025,0.001940012,0
linux,250,mysql,read,0.103351116,0.101905107,0.001490116,1.3
linux,250,mysql,read,0.103407145,0.101952076,0.001538038,0
linux,250,mysql,read,0.103438854,0.101993084,0.001560926,0
linux,250,mysql,read,0.103396893,0.101922035,0.001493931,0
linux,250,mysql,read,0.103441,0.101971865,0.001543045,1.2
linux,250,mysql,read,0.103909969,0.102437019,0.002023935,0
linux,250,mysql,read,0.103402138,0.101950884,0.001529932,0
linux,250,mysql,read,0.103356123,0.10191083,0.001483917,1.2
linux,250,mysql,read,0.103996992,0.102444172,0.001984119,1.3
linux,250,mysql,read,0.103332996,0.101906061,0.001490831,1.2
linux,250,mysql,read,0.103382111,0.101952076,0.001523018,1.2
linux,250,mysql,read,0.103362083,0.101922989,0.001516104,1.3
linux,250,mysql,read,0.103705883,0.10228014,0.001869917,2.4
linux,250,mysql,read,0.103282928,0.101866961,0.00145483,1.3
linux,250,mysql,read,0.104451895,0.101927042,0.001481056,1.2
linux,250,mysql,read,0.103278875,0.101830959,0.001416922,1.3
linux,250,mysql,read,0.103338957,0.101887941,0.001476049,0
linux,250,mysql,read,0.103402138,0.101963997,0.001543999,0
linux,250,mysql,read,0.103377104,0.101931095,0.00151515,1.2
linux,250,mysql,read,0.103800058,0.102358103,0.00193119,1.2
linux,250,mysql,read,0.103300095,0.101853848,0.001449823,0
linux,250,mysql,read,0.104161978,0.102619886,0.002147913,1.2
linux,250,mysql,read,0.103384018,0.101933956,0.001507998,0
linux,250,mysql,read,0.103313923,0.101857185,0.001444101,1.2
linux,250,mysql,read,0.103320837,0.101876974,0.001467943,0
linux,250,mysql,read,0.104027987,0.102436066,0.001985073,0
linux,250,mysql,read,0.103703022,0.102244139,0.001831055,1.2
linux,250,mysql,read,0.103361845,0.101904869,0.00148797,0
linux,250,mysql,read,0.103303909,0.10185504,0.001451015,1.2
linux,250,mysql,read,0.104342222,0.102092981,0.001545191,0
linux,250,mysql,read,0.104048967,0.102485895,0.002025843,1.2
linux,250,mysql,read,0.103390932,0.10193181,0.001510859,0
linux,250,mysql,read,0.103387117,0.101936102,0.001513958,0
linux,250,mysql,read,0.103622198,0.102170944,0.001755953,1.2
linux,250,mysql,read,0.103429079,0.10198307,0.001558065,0
linux,250,mysql,read,0.103335857,0.101886988,0.001471996,0
linux,250,mysql,read,0.103338957,0.101892948,0.001477003,0
